"","obs","state"
"1",8,"State_3"
"2",10,"State_3"
"3",5,"State_3"
"4",7,"State_3"
"5",6,"State_3"
"6",9,"State_3"
"7",6,"State_3"
"8",6,"State_3"
"9",4,"State_3"
"10",9,"State_3"
"11",11,"State_3"
"12",5,"State_3"
"13",14,"State_3"
"14",6,"State_3"
"15",4,"State_3"
"16",6,"State_3"
"17",10,"State_3"
"18",0,"State_1"
"19",0,"State_1"
"20",0,"State_1"
"21",0,"State_1"
"22",1,"State_1"
"23",2,"State_1"
"24",2,"State_1"
"25",0,"State_1"
"26",0,"State_1"
"27",1,"State_1"
"28",0,"State_1"
"29",1,"State_1"
"30",2,"State_1"
"31",0,"State_1"
"32",1,"State_1"
"33",2,"State_1"
"34",1,"State_1"
"35",0,"State_1"
"36",0,"State_1"
"37",3,"State_1"
"38",1,"State_1"
"39",2,"State_1"
"40",1,"State_1"
"41",1,"State_1"
"42",3,"State_1"
"43",11,"State_3"
"44",10,"State_3"
"45",13,"State_3"
"46",5,"State_3"
"47",3,"State_3"
"48",12,"State_3"
"49",7,"State_3"
"50",1,"State_1"
"51",2,"State_1"
"52",1,"State_1"
"53",0,"State_1"
"54",1,"State_1"
"55",1,"State_1"
"56",0,"State_1"
"57",0,"State_1"
"58",14,"State_2"
"59",24,"State_2"
"60",16,"State_2"
"61",16,"State_2"
"62",7,"State_3"
"63",8,"State_3"
"64",5,"State_3"
"65",10,"State_3"
"66",9,"State_3"
"67",11,"State_3"
"68",3,"State_3"
"69",12,"State_3"
"70",9,"State_3"
"71",9,"State_3"
"72",6,"State_3"
"73",7,"State_3"
"74",10,"State_3"
"75",9,"State_3"
"76",6,"State_3"
"77",6,"State_3"
"78",10,"State_3"
"79",5,"State_3"
"80",6,"State_3"
"81",7,"State_3"
"82",4,"State_3"
"83",6,"State_3"
"84",9,"State_3"
"85",6,"State_3"
"86",9,"State_3"
"87",12,"State_3"
"88",4,"State_3"
"89",11,"State_3"
"90",7,"State_3"
"91",10,"State_3"
"92",12,"State_3"
"93",18,"State_2"
"94",7,"State_3"
"95",9,"State_3"
"96",16,"State_2"
"97",19,"State_2"
"98",22,"State_2"
"99",22,"State_2"
"100",16,"State_2"
"101",24,"State_2"
"102",24,"State_2"
"103",17,"State_2"
"104",21,"State_2"
"105",27,"State_2"
"106",23,"State_2"
"107",18,"State_2"
"108",7,"State_3"
"109",9,"State_3"
"110",10,"State_3"
"111",6,"State_3"
"112",6,"State_3"
"113",6,"State_3"
"114",8,"State_3"
"115",15,"State_2"
"116",21,"State_2"
"117",15,"State_3"
"118",6,"State_3"
"119",9,"State_3"
"120",5,"State_3"
