"","time","obs"
"1",1,8
"2",2,4
"3",3,0
"4",4,0
"5",5,0
"6",6,8
"7",7,0
"8",8,0
"9",9,0
"10",10,3
"11",11,0
"12",12,16
"13",13,0
"14",14,9
"15",15,0
"16",16,4
"17",17,3
"18",18,9
"19",19,1
"20",20,0
"21",21,16
"22",22,0
"23",23,8
"24",24,8
"25",25,0
"26",26,4
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,8
"35",35,8
"36",36,0
"37",37,4
"38",38,24
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,1
"50",50,0
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,19
"62",62,13
"63",63,13
"64",64,14
"65",65,9
"66",66,0
"67",67,0
"68",68,8
"69",69,27
"70",70,24
"71",71,10
"72",72,10
"73",73,8
"74",74,0
"75",75,28
"76",76,1
"77",77,13
"78",78,9
"79",79,2
"80",80,37
"81",81,26
"82",82,16
"83",83,4
"84",84,41
"85",85,1
"86",86,8
"87",87,4
"88",88,3
"89",89,3
"90",90,32
"91",91,8
"92",92,45
"93",93,46
"94",94,0
"95",95,16
"96",96,4
"97",97,8
"98",98,8
"99",99,8
"100",100,0
"101",101,0
"102",102,0
"103",103,16
"104",104,8
"105",105,8
"106",106,8
"107",107,0
"108",108,0
"109",109,0
"110",110,8
"111",111,0
"112",112,0
"113",113,0
"114",114,0
"115",115,8
"116",116,0
"117",117,4
"118",118,8
"119",119,0
"120",120,0
"121",121,0
"122",122,8
"123",123,0
"124",124,0
"125",125,24
"126",126,0
"127",127,0
"128",128,0
"129",129,0
"130",130,0
"131",131,0
"132",132,0
"133",133,8
"134",134,0
"135",135,0
"136",136,0
"137",137,0
"138",138,0
"139",139,8
"140",140,0
"141",141,0
"142",142,16
"143",143,4
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"148",148,0
"149",149,0
"150",150,0
"151",151,24
"152",152,0
"153",153,0
"154",154,0
"155",155,0
"156",156,0
"157",157,0
"158",158,0
"159",159,0
"160",160,0
"161",161,0
"162",162,0
"163",163,0
"164",164,0
"165",165,0
"166",166,0
"167",167,2
"168",168,0
"169",169,0
"170",170,0
"171",171,0
"172",172,8
"173",173,0
"174",174,0
"175",175,0
"176",176,0
"177",177,0
"178",178,0
"179",179,0
"180",180,0
"181",181,8
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,1
"187",187,0
"188",188,0
"189",189,0
"190",190,0
