"","modelSize","ss","run","modelRun","noIterations","timeSpent","meanDist"
"1",0,0,0,0,0,0,0
"elapsed",2,500,1,1,100,9.17000000000553,0
"elapsed1",2,500,1,2,100,8.80999999999767,0
"elapsed2",2,500,1,3,100,8.83000000000175,0
"elapsed3",2,500,2,1,100,9.01000000000204,0
"elapsed4",2,500,2,2,100,8.5,0
"elapsed5",2,500,2,3,100,8.38999999999942,0
"elapsed6",2,500,3,1,100,8.37000000000262,0
"elapsed7",2,500,3,2,100,8.40999999999622,0
"elapsed8",2,500,3,3,100,8.45000000000437,0
"elapsed9",2,1000,1,1,100,16.260000000002,0
"elapsed10",2,1000,1,2,100,16.1399999999994,0
"elapsed11",2,1000,1,3,100,16.1900000000023,0
"elapsed12",2,1000,2,1,100,16.0600000000049,0
"elapsed13",2,1000,2,2,100,16.1599999999962,0
"elapsed14",2,1000,2,3,100,16.0699999999997,0
"elapsed15",2,1000,3,1,100,16.1100000000006,0
"elapsed16",2,1000,3,2,100,16.0699999999997,0
"elapsed17",2,1000,3,3,100,16.1500000000015,0
"elapsed18",2,1500,1,1,100,24.0600000000049,0
"elapsed19",2,1500,1,2,100,24.1399999999994,0
"elapsed20",2,1500,1,3,100,24.1599999999962,0
"elapsed21",2,1500,2,1,100,24.0699999999997,0
"elapsed22",2,1500,2,2,100,24.1399999999994,0
"elapsed23",2,1500,2,3,100,24.0799999999945,0
"elapsed24",2,1500,3,1,100,24.0299999999988,0
"elapsed25",2,1500,3,2,100,24.1600000000035,0
"elapsed26",2,1500,3,3,100,24.1100000000006,0
"elapsed27",2,2000,1,1,100,32.3000000000029,0
"elapsed28",2,2000,1,2,100,32.3399999999965,0
"elapsed29",2,2000,1,3,100,32.3199999999997,0
"elapsed30",2,2000,2,1,100,32.4199999999983,0
"elapsed31",2,2000,2,2,100,32.3300000000017,0
"elapsed32",2,2000,2,3,100,32.3399999999965,0
"elapsed33",2,2000,3,1,100,32.3300000000017,0
"elapsed34",2,2000,3,2,100,32.3099999999977,0
"elapsed35",2,2000,3,3,100,32.3700000000026,0
"elapsed36",3,500,1,1,100,8.29999999999563,0.0135263992353879
"elapsed37",3,500,1,2,100,8.29000000000087,0.0213538301912793
"elapsed38",3,500,1,3,100,8.31999999999971,0.000538329693191078
"elapsed39",3,500,2,1,100,8.2699999999968,0.0595208275571055
"elapsed40",3,500,2,2,100,8.31000000000495,4.27263417043244e-05
"elapsed41",3,500,2,3,100,8.31000000000495,0.10247693097316
"elapsed42",3,500,3,1,100,8.32999999999447,0.0567492285610118
"elapsed43",3,500,3,2,100,8.28000000000611,0.142734824441667
"elapsed44",3,500,3,3,100,8.30999999999767,0.0538155020164652
"elapsed45",3,1000,1,1,100,16.1399999999994,0.00512025762868179
"elapsed46",3,1000,1,2,100,16.0799999999945,0.0119443502740071
"elapsed47",3,1000,1,3,100,16.1100000000006,0.033302366397786
"elapsed48",3,1000,2,1,100,16.1100000000006,0.0277714598150508
"elapsed49",3,1000,2,2,100,16.1099999999933,0.0316482191903522
"elapsed50",3,1000,2,3,100,16.1400000000067,0.0250013688930656
"elapsed51",3,1000,3,1,100,16.0800000000017,0.0938043459749557
"elapsed52",3,1000,3,2,100,16.1599999999962,0.108205148979535
"elapsed53",3,1000,3,3,100,16.0699999999997,0.0697522204887067
"elapsed54",3,1500,1,1,100,24.1699999999983,0.0119025707099408
"elapsed55",3,1500,1,2,100,24.0800000000017,0.0139775006204906
"elapsed56",3,1500,1,3,100,24.1100000000006,0.0148137705133142
"elapsed57",3,1500,2,1,100,24.1100000000006,0.00238378769194003
"elapsed58",3,1500,2,2,100,24.3099999999977,0.00664953081964725
"elapsed59",3,1500,2,3,100,24.1700000000055,0.00447063549672433
"elapsed60",3,1500,3,1,100,24.1500000000015,0.226431968965516
"elapsed61",3,1500,3,2,100,24.1600000000035,0.261098480947299
"elapsed62",3,1500,3,3,100,24.1699999999983,0.217208423461216
"elapsed63",3,2000,1,1,100,32.4300000000003,0.00147503381601366
"elapsed64",3,2000,1,2,100,32.3600000000006,0.00952914660174553
"elapsed65",3,2000,1,3,100,32.3100000000049,0.00125977329282245
"elapsed66",3,2000,2,1,100,32.3399999999965,0.124288360532836
"elapsed67",3,2000,2,2,100,32.3799999999974,0.137156276408287
"elapsed68",3,2000,2,3,100,32.3700000000026,0.146800247472922
"elapsed69",3,2000,3,1,100,32.3100000000049,0.0127645654645459
"elapsed70",3,2000,3,2,100,32.3399999999965,0.0201052415475764
"elapsed71",3,2000,3,3,100,32.4300000000003,0.0912442741308755
"elapsed72",4,500,1,1,101,8.40000000000146,0.0205912318189482
"elapsed73",4,500,1,2,100,8.37999999999738,0.0477750922433302
"elapsed74",4,500,1,3,100,8.42000000000553,0.0627179723704432
"elapsed75",4,500,2,1,1643,140.18,0.0968019487172209
"elapsed76",4,500,2,2,3000,257,0.0188159298294043
"elapsed77",4,500,2,3,3000,256.849999999999,0.0542697436931564
"elapsed78",4,500,3,1,338,28.8100000000049,0.278026427766982
"elapsed79",4,500,3,2,100,8.54000000000087,0.466144375880167
"elapsed80",4,500,3,3,3000,257,0.149993669073137
"elapsed81",4,1000,1,1,263,43.5799999999945,0.191455151510248
"elapsed82",4,1000,1,2,191,31.6399999999994,0.138323243110439
"elapsed83",4,1000,1,3,1163,193.030000000006,0.647813338686918
"elapsed84",4,1000,2,1,100,16.5199999999968,0.0771502679841046
"elapsed85",4,1000,2,2,100,16.6100000000006,0.177606177578462
"elapsed86",4,1000,2,3,100,16.6200000000026,0.0211118836903501
"elapsed87",4,1000,3,1,134,22.1999999999971,0.0804542600988592
"elapsed88",4,1000,3,2,100,16.5500000000029,0.0860074753282859
"elapsed89",4,1000,3,3,137,23.25,0.0643232093156165
"elapsed90",4,1500,1,1,113,27.8199999999997,0.634961748187911
"elapsed91",4,1500,1,2,100,24.5,0.0258698454898121
"elapsed92",4,1500,1,3,100,24.5299999999988,0.0219872271135305
"elapsed93",4,1500,2,1,2744,673.68,0.234415726051306
"elapsed94",4,1500,2,2,1001,245.599999999999,0.258497090663867
"elapsed95",4,1500,2,3,104,25.4800000000032,0.313054784262233
"elapsed96",4,1500,3,1,434,106.489999999998,0.00834041823999299
"elapsed97",4,1500,3,2,137,33.6400000000067,0.0186824680447143
"elapsed98",4,1500,3,3,100,24.5299999999988,0.0153289492573689
"elapsed99",4,2000,1,1,100,32.75,0.0558512147610359
"elapsed100",4,2000,1,2,100,32.7299999999959,0.246739453428251
"elapsed101",4,2000,1,3,131,42.8499999999985,0.245034007353768
"elapsed102",4,2000,2,1,100,32.75,0.374781143483761
"elapsed103",4,2000,2,2,100,32.7300000000032,0.686735522801247
"elapsed104",4,2000,2,3,100,32.75,0.60340079829843
"elapsed105",4,2000,3,1,3000,982.470000000001,0.199117805332121
"elapsed106",4,2000,3,2,149,48.7299999999959,0.726311963139806
"elapsed107",4,2000,3,3,3000,982.5,0.298667488826391
"elapsed108",5,500,1,1,3000,256.860000000001,0.360173583563507
"elapsed109",5,500,1,2,3000,258.599999999999,0.553850258644624
"elapsed110",5,500,1,3,3000,257.209999999999,0.51025895657889
"elapsed111",5,500,2,1,203,17.2800000000061,0.0413151066620249
"elapsed112",5,500,2,2,119,10.1399999999994,0.0890269892095112
"elapsed113",5,500,2,3,428,36.5599999999977,0.0444131544193421
"elapsed114",5,500,3,1,3000,257.599999999999,0.184986257084078
"elapsed115",5,500,3,2,3000,259.090000000004,0.182676363126784
"elapsed116",5,500,3,3,3000,259.029999999999,0.175513618012872
"elapsed117",5,1000,1,1,3000,498.979999999996,0.106914790445338
"elapsed118",5,1000,1,2,3000,503.440000000002,0.250331577940218
"elapsed119",5,1000,1,3,665,113.739999999998,0.223710462342195
"elapsed120",5,1000,2,1,3000,498.209999999999,0.543326116424094
"elapsed121",5,1000,2,2,3000,497.82,0.468674753209758
"elapsed122",5,1000,2,3,3000,498.029999999999,0.555942058637752
"elapsed123",5,1000,3,1,1073,177.989999999998,0.059952143562805
"elapsed124",5,1000,3,2,479,79.4500000000044,0.284289023406827
"elapsed125",5,1000,3,3,2279,378.669999999998,0.240951818917947
"elapsed126",5,1500,1,1,2429,597.349999999999,0.220062075064544
"elapsed127",5,1500,1,2,2129,523.679999999993,0.273287014108049
"elapsed128",5,1500,1,3,3000,738.190000000002,0.238139729989282
