,modelSize,ss,run,modelRun,noIterations,timeSpent,meanDist
1,0,0,0,0,0,0,0
elapsed,2,500,1,1,100,9.50999999999999,0
elapsed1,2,500,1,2,100,9.2,0
elapsed2,2,500,1,3,100,8.48,0
elapsed3,2,500,2,1,100,8.46000000000001,0
elapsed4,2,500,2,2,100,8.47,0
elapsed5,2,500,2,3,100,8.62,0
elapsed6,2,500,3,1,100,8.46000000000001,0
elapsed7,2,500,3,2,100,8.49000000000001,0
elapsed8,2,500,3,3,100,8.54999999999998,0
elapsed9,2,1000,1,1,100,16.22,0
elapsed10,2,1000,1,2,100,16.19,0
elapsed11,2,1000,1,3,100,16.08,0
elapsed12,2,1000,2,1,100,16.14,0
elapsed13,2,1000,2,2,100,16.05,0
elapsed14,2,1000,2,3,100,16.11,0
elapsed15,2,1000,3,1,100,16.14,0
elapsed16,2,1000,3,2,100,16.04,0
elapsed17,2,1000,3,3,100,16.12,0
elapsed18,2,1500,1,1,100,24.11,0
elapsed19,2,1500,1,2,100,24.1,0
elapsed20,2,1500,1,3,100,24.09,0
elapsed21,2,1500,2,1,100,24.19,0
elapsed22,2,1500,2,2,100,25.04,0
elapsed23,2,1500,2,3,100,24.14,0
elapsed24,2,1500,3,1,100,24.14,0
elapsed25,2,1500,3,2,100,24.03,0
elapsed26,2,1500,3,3,100,24.09,0
elapsed27,2,2000,1,1,100,32.34,0
elapsed28,2,2000,1,2,100,32.38,0
elapsed29,2,2000,1,3,100,32.37,0
elapsed30,2,2000,2,1,100,32.2900000000001,0
elapsed31,2,2000,2,2,100,32.3,0
elapsed32,2,2000,2,3,100,32.25,0
elapsed33,2,2000,3,1,100,32.3100000000001,0
elapsed34,2,2000,3,2,100,32.28,0
elapsed35,2,2000,3,3,100,32.36,0
elapsed36,3,500,1,1,100,8.25,0.013371187698444
elapsed37,3,500,1,2,100,8.23000000000002,0.019348676414568
elapsed38,3,500,1,3,100,8.24000000000001,0.062601255991696
elapsed39,3,500,2,1,100,8.27999999999997,0.304802962409607
elapsed40,3,500,2,2,100,8.2600000000001,0.377373721969123
elapsed41,3,500,2,3,100,8.26999999999998,0.311166504546515
elapsed42,3,500,3,1,100,8.25,0.156761108743915
elapsed43,3,500,3,2,100,8.22000000000003,0.212840679561472
elapsed44,3,500,3,3,100,8.30999999999995,0.251221361341632
elapsed45,3,1000,1,1,100,16.01,0.003920092357036
elapsed46,3,1000,1,2,100,16.0799999999999,0.003426132856715
elapsed47,3,1000,1,3,100,16.0600000000001,0.00427691606739
elapsed48,3,1000,2,1,100,16.0600000000001,0.007169345538711
elapsed49,3,1000,2,2,100,16.11,0.012161646069136
elapsed50,3,1000,2,3,100,16.0599999999999,0.008859047649095
