"","modelSize","ss","run","modelRun","noIterations","timeSpent"
"1",0,0,0,0,0,0
"elapsed",2,100,1,1,2000,51.75
"elapsed1",2,100,1,2,401,10.25
"elapsed2",2,100,1,3,2000,51.22
"elapsed3",2,100,1,4,1999,51.56
"elapsed4",2,100,1,5,280,7.24000000000001
"elapsed5",2,100,2,1,2000,52.11
"elapsed6",2,100,2,2,1998,50.78
"elapsed7",2,100,2,3,2000,50.13
"elapsed8",2,100,2,4,661,16.61
"elapsed9",2,100,2,5,1999,50.03
"elapsed10",2,100,3,1,241,6.05000000000007
"elapsed11",2,100,3,2,2000,50.11
"elapsed12",2,100,3,3,340,8.57999999999993
"elapsed13",2,100,3,4,2000,50.01
"elapsed14",2,100,3,5,2000,51.47
"elapsed15",2,100,4,1,2000,50.5600000000001
"elapsed16",2,100,4,2,2000,53.5799999999999
"elapsed17",2,100,4,3,1740,43.0500000000001
"elapsed18",2,100,4,4,531,13.62
"elapsed19",2,100,4,5,2000,49.14
"elapsed20",2,100,5,1,2000,49.09
"elapsed21",2,100,5,2,1999,49.02
"elapsed22",2,100,5,3,2000,49.03
"elapsed23",2,100,5,4,321,7.91000000000008
"elapsed24",2,100,5,5,731,17.97
"elapsed25",2,200,1,1,485,23.28
"elapsed26",2,200,1,2,1995,94.5
"elapsed27",2,200,1,3,211,9.96000000000004
"elapsed28",2,200,1,4,1995,96.6499999999999
"elapsed29",2,200,1,5,818,39.1700000000001
"elapsed30",2,200,2,1,618,29.28
"elapsed31",2,200,2,2,1998,94.3
"elapsed32",2,200,2,3,2000,94.3600000000001
"elapsed33",2,200,2,4,1996,94.3599999999999
"elapsed34",2,200,2,5,727,34.53
"elapsed35",2,200,3,1,1999,95.1400000000001
"elapsed36",2,200,3,2,1999,94.4099999999999
"elapsed37",2,200,3,3,311,14.6600000000001
"elapsed38",2,200,3,4,2000,94.3399999999999
"elapsed39",2,200,3,5,207,9.95000000000005
"elapsed40",2,200,4,1,1248,58.97
"elapsed41",2,200,4,2,2000,94.3099999999999
"elapsed42",2,200,4,3,1809,85.5500000000002
"elapsed43",2,200,4,4,1791,84.48
"elapsed44",2,200,4,5,1056,50.02
"elapsed45",2,200,5,1,1995,94.2799999999997
"elapsed46",2,200,5,2,1997,94.3300000000004
