"","modelSize","ss","run","modelRun","noIterations","timeSpent","noParmsToEstim"
"1",0,0,0,0,0,0,0
"elapsed",2,500,1,1,20,2.29000000000001,2
"elapsed1",2,500,1,2,20,1.83,2
"elapsed2",2,500,1,3,20,1.81,2
"elapsed3",2,500,2,1,20,1.82000000000001,2
"elapsed4",2,500,2,2,20,1.87,2
"elapsed5",2,500,2,3,20,1.83,2
"elapsed6",2,500,3,1,20,1.81999999999999,2
"elapsed7",2,500,3,2,20,1.86000000000001,2
"elapsed8",2,500,3,3,20,1.8,2
"elapsed9",2,1000,1,1,20,3.47,2
"elapsed10",2,1000,1,2,20,3.43000000000001,2
"elapsed11",2,1000,1,3,20,3.47,2
"elapsed12",2,1000,2,1,20,3.36999999999999,2
"elapsed13",2,1000,2,2,20,3.43000000000001,2
"elapsed14",2,1000,2,3,20,3.42,2
"elapsed15",2,1000,3,1,20,3.44000000000001,2
"elapsed16",2,1000,3,2,20,3.39,2
"elapsed17",2,1000,3,3,20,3.39,2
"elapsed18",2,1500,1,1,20,5.06,2
"elapsed19",2,1500,1,2,20,5.03,2
"elapsed20",2,1500,1,3,20,5.09,2
"elapsed21",2,1500,2,1,20,5.00999999999999,2
"elapsed22",2,1500,2,2,20,5.05000000000001,2
"elapsed23",2,1500,2,3,20,5.06,2
"elapsed24",2,1500,3,1,20,5.03,2
"elapsed25",2,1500,3,2,20,5.06,2
"elapsed26",2,1500,3,3,20,5.03,2
"elapsed27",2,2000,1,1,20,6.73999999999998,2
"elapsed28",2,2000,1,2,20,6.72,2
"elapsed29",2,2000,1,3,20,6.73000000000002,2
"elapsed30",2,2000,2,1,20,6.78,2
"elapsed31",2,2000,2,2,20,6.72999999999999,2
"elapsed32",2,2000,2,3,20,6.74000000000001,2
"elapsed33",2,2000,3,1,20,6.72,2
"elapsed34",2,2000,3,2,20,6.74000000000001,2
"elapsed35",2,2000,3,3,20,6.69999999999999,2
"elapsed36",2,500,1,1,20,1.80000000000001,3
"elapsed37",2,500,1,2,20,1.79999999999998,3
"elapsed38",2,500,1,3,20,1.81,3
"elapsed39",2,500,2,1,20,1.78,3
"elapsed40",2,500,2,2,20,1.80000000000001,3
"elapsed41",2,500,2,3,20,1.78999999999999,3
"elapsed42",2,500,3,1,20,1.81,3
"elapsed43",2,500,3,2,20,1.81999999999999,3
"elapsed44",2,500,3,3,20,1.78999999999999,3
"elapsed45",2,1000,1,1,20,3.37,3
"elapsed46",2,1000,1,2,20,3.32999999999998,3
"elapsed47",2,1000,1,3,20,3.33000000000001,3
"elapsed48",2,1000,2,1,20,3.36000000000001,3
"elapsed49",2,1000,2,2,20,3.28999999999999,3
"elapsed50",2,1000,2,3,20,3.31999999999999,3
"elapsed51",2,1000,3,1,20,3.31999999999999,3
"elapsed52",2,1000,3,2,20,3.32999999999998,3
"elapsed53",2,1000,3,3,20,3.31,3
"elapsed54",2,1500,1,1,20,4.94999999999999,3
"elapsed55",2,1500,1,2,20,5,3
"elapsed56",2,1500,1,3,20,4.92000000000002,3
"elapsed57",2,1500,2,1,20,4.96999999999997,3
"elapsed58",2,1500,2,2,20,4.95000000000005,3
"elapsed59",2,1500,2,3,20,5,3
"elapsed60",2,1500,3,1,20,4.91999999999996,3
"elapsed61",2,1500,3,2,20,4.94,3
"elapsed62",2,1500,3,3,20,5.04000000000002,3
"elapsed63",2,2000,1,1,20,6.63999999999999,3
"elapsed64",2,2000,1,2,20,6.66000000000003,3
"elapsed65",2,2000,1,3,20,6.65999999999997,3
"elapsed66",2,2000,2,1,20,6.60000000000002,3
"elapsed67",2,2000,2,2,20,6.65999999999997,3
"elapsed68",2,2000,2,3,20,6.63999999999999,3
"elapsed69",2,2000,3,1,20,6.66000000000003,3
"elapsed70",2,2000,3,2,20,6.62,3
"elapsed71",2,2000,3,3,20,6.71999999999997,3
"elapsed72",2,500,1,1,20,1.71999999999997,4
"elapsed73",2,500,1,2,20,1.74000000000001,4
"elapsed74",2,500,1,3,20,1.73000000000002,4
"elapsed75",2,500,2,1,62,5.38999999999999,4
"elapsed76",2,500,2,2,38,3.31999999999999,4
"elapsed77",2,500,2,3,32,2.79000000000002,4
"elapsed78",2,500,3,1,20,1.74000000000001,4
"elapsed79",2,500,3,2,20,1.75999999999999,4
"elapsed80",2,500,3,3,146,12.78,4
"elapsed81",2,1000,1,1,35,5.89000000000004,4
"elapsed82",2,1000,1,2,20,3.35999999999996,4
"elapsed83",2,1000,1,3,23,3.89000000000004,4
"elapsed84",2,1000,2,1,20,3.32000000000005,4
"elapsed85",2,1000,2,2,20,3.38,4
"elapsed86",2,1000,2,3,20,3.40999999999997,4
